k,velo,trueVelo
1.0,1.6054225247768545,0.6082762530298219
2.0,1.0464963964085279,0.6082762530298219
3.0,1.0555501058889958,0.6082762530298219
4.0,0.9371051605451441,0.6082762530298219
5.0,0.8704824758308033,0.6082762530298219
6.0,0.8367731251934063,0.6082762530298219
7.0,0.8187666049908521,0.6082762530298219
8.0,0.7905095920690396,0.6082762530298219
9.0,0.7628501201781556,0.6082762530298219
10.0,0.7287995628076358,0.6082762530298219
11.0,0.6950419616881519,0.6082762530298219
12.0,0.6590201795760291,0.6082762530298219
13.0,0.6169602381345349,0.6082762530298219
14.0,0.5753688579302876,0.6082762530298219
15.0,0.5368019883736205,0.6082762530298219
